timestamp,open,high,low,close,volume
6/4/2021 19:20,147.68,147.68,147.68,147.68,100
6/4/2021 18:45,147.27,147.27,147.25,147.25,637
6/4/2021 18:40,147.3,147.3,147.3,147.3,100
6/4/2021 18:20,147.36,147.36,147.36,147.36,200
6/4/2021 18:15,147.4,147.4,147.4,147.4,100
6/4/2021 17:10,147.49,147.5,147.49,147.5,472
6/4/2021 16:20,147.42,147.42,147.42,147.42,1175
6/4/2021 16:15,147.5,147.5,147.5,147.5,114
6/4/2021 16:05,147.42,147.77,147.42,147.77,32741
6/4/2021 16:00,147.435,147.46,147.33,147.42,204257
6/4/2021 15:55,147.36,147.455,147.325,147.435,107281
6/4/2021 15:50,147.4,147.425,147.325,147.35,91556
6/4/2021 15:45,147.36,147.405,147.35,147.4,64493
6/4/2021 15:40,147.445,147.465,147.34,147.36,42162
6/4/2021 15:35,147.42,147.46,147.4001,147.45,43222
6/4/2021 15:30,147.425,147.44,147.4,147.425,27650
6/4/2021 15:25,147.43,147.44,147.3555,147.42,35847
6/4/2021 15:20,147.42,147.46,147.39,147.43,23136
6/4/2021 15:15,147.43,147.5,147.41,147.425,30100
6/4/2021 15:10,147.375,147.43,147.35,147.42,22377
6/4/2021 15:05,147.4099,147.4099,147.33,147.3701,28577
6/4/2021 15:00,147.32,147.4199,147.32,147.4199,29593
6/4/2021 14:55,147.375,147.3882,147.3203,147.335,29100
6/4/2021 14:50,147.4341,147.44,147.3529,147.38,34146
6/4/2021 14:45,147.51,147.51,147.42,147.4301,23745
6/4/2021 14:40,147.47,147.55,147.44,147.515,26287
6/4/2021 14:35,147.43,147.52,147.38,147.4623,40783
6/4/2021 14:30,147.35,147.45,147.35,147.435,21124
6/4/2021 14:25,147.3,147.39,147.3,147.35,24814
6/4/2021 14:20,147.38,147.38,147.26,147.283,18056
6/4/2021 14:15,147.28,147.39,147.27,147.38,34894
6/4/2021 14:10,147.28,147.32,147.27,147.29,28233
6/4/2021 14:05,147.2045,147.31,147.2045,147.285,28795
6/4/2021 14:00,147.225,147.25,147.16,147.21,32144
6/4/2021 13:55,147.185,147.41,147.16,147.26,47564
6/4/2021 13:50,147,147.23,147,147.19,49894
6/4/2021 13:45,147.04,147.07,146.99,147.005,31508
6/4/2021 13:40,146.995,147.045,146.96,147.045,17298
6/4/2021 13:35,146.92,147,146.9,147,12868
6/4/2021 13:30,146.911,146.98,146.8936,146.94,14758
6/4/2021 13:25,146.94,146.97,146.87,146.93,19481
6/4/2021 13:20,146.98,147.011,146.96,146.96,12711
6/4/2021 13:15,146.965,146.99,146.9221,146.97,14153
6/4/2021 13:10,147.08,147.09,146.95,146.975,28483
6/4/2021 13:05,147,147.1,147,147.08,35245
6/4/2021 13:00,146.96,146.99,146.9,146.99,29296
6/4/2021 12:55,147.02,147.02,146.91,146.9509,19419
6/4/2021 12:50,146.9,147.025,146.88,147.02,26365
6/4/2021 12:45,146.93,146.9403,146.84,146.9,24533
6/4/2021 12:40,146.83,146.94,146.83,146.94,19253
6/4/2021 12:35,146.7026,146.84,146.7026,146.83,26681
6/4/2021 12:30,146.745,146.7655,146.67,146.7157,24214
6/4/2021 12:25,146.645,146.74,146.61,146.74,27082
6/4/2021 12:20,146.69,146.72,146.605,146.64,23999
6/4/2021 12:15,146.7,146.7,146.62,146.69,17256
6/4/2021 12:10,146.74,146.775,146.68,146.69,14250
6/4/2021 12:05,146.695,146.78,146.695,146.74,14657
6/4/2021 12:00,146.69,146.73,146.64,146.71,15882
6/4/2021 11:55,146.76,146.77,146.6305,146.68,20370
6/4/2021 11:50,146.68,146.755,146.64,146.75,27624
6/4/2021 11:45,146.69,146.76,146.64,146.68,19904
6/4/2021 11:40,146.6947,146.78,146.68,146.695,24073
6/4/2021 11:35,146.65,146.762,146.63,146.7,23629
6/4/2021 11:30,146.685,146.72,146.64,146.655,39575
6/4/2021 11:25,146.8,146.88,146.68,146.68,32061
6/4/2021 11:20,147,147,146.78,146.8119,35837
6/4/2021 11:15,146.94,147.1129,146.94,147,68294
6/4/2021 11:10,146.865,146.97,146.86,146.93,30352
6/4/2021 11:05,146.76,146.87,146.74,146.8478,23344
6/4/2021 11:00,146.72,146.79,146.6,146.75,29606
6/4/2021 10:55,146.65,146.76,146.65,146.72,26784
6/4/2021 10:50,146.4916,146.65,146.47,146.64,29784
6/4/2021 10:45,146.45,146.6,146.4157,146.4701,43192
6/4/2021 10:40,146.49,146.574,146.45,146.45,32827
6/4/2021 10:35,146.38,146.53,146.36,146.4939,26263
6/4/2021 10:30,146.29,146.48,146.29,146.38,27536
6/4/2021 10:25,146.44,146.46,146.28,146.31,29936
6/4/2021 10:20,146.55,146.62,146.4,146.4301,30376
6/4/2021 10:15,146.44,146.64,146.4,146.5401,42926
6/4/2021 10:10,146.23,146.44,146.221,146.4241,27254
6/4/2021 10:05,146.25,146.43,146.19,146.22,35546
6/4/2021 10:00,146.11,146.265,146.088,146.255,26548
6/4/2021 9:55,146.35,146.36,146.11,146.13,36193
6/4/2021 9:50,146.35,146.5,146.24,146.34,28962
6/4/2021 9:45,146.25,146.57,146.16,146.41,66436
6/4/2021 9:40,145.8,146.38,145.8,146.2557,76265
6/4/2021 9:35,146,146.14,145.76,145.81,156795
6/4/2021 9:05,145.5,145.51,145.5,145.51,502
6/4/2021 8:45,145.38,145.38,145.38,145.38,100
6/4/2021 8:40,145.65,145.65,145.65,145.65,102
6/4/2021 8:35,145.48,145.65,145.48,145.65,1803
6/4/2021 8:05,144.661,144.661,144.661,144.661,227
6/4/2021 4:50,145.55,145.55,145.55,145.55,206
6/3/2021 18:20,144.5701,144.5701,144.5701,144.5701,100
6/3/2021 16:10,145.55,145.55,145.55,145.55,102
6/3/2021 16:05,145.55,145.55,144.9686,145.55,660063
6/3/2021 16:00,145.59,145.69,145.54,145.55,231997
6/3/2021 15:55,145.49,145.63,145.46,145.58,122646
6/3/2021 15:50,145.665,145.665,145.46,145.5,95908
6/3/2021 15:45,145.74,145.8,145.65,145.665,61512
